step,herd prey,solo prey
1,144,144
2,144,143
3,143,143
4,143,143
5,143,143
6,143,143
7,143,143
8,143,143
9,143,142
10,143,142
11,143,142
12,143,142
13,143,141
14,143,141
15,143,141
16,143,141
17,143,141
18,143,141
19,143,141
20,143,141
21,143,141
22,143,141
23,143,141
24,143,140
25,143,140
26,143,140
27,143,140
28,143,140
29,143,140
30,143,140
31,143,140
32,143,140
33,143,140
34,143,139
35,143,139
36,143,139
37,143,139
38,143,139
39,143,139
40,143,139
41,143,139
42,143,139
43,143,139
44,143,139
45,143,139
46,143,138
47,143,138
48,143,138
49,143,137
50,143,137
51,143,137
52,143,137
53,143,137
54,143,137
55,143,137
56,143,137
57,143,137
58,143,137
59,143,137
60,143,137
61,143,137
62,143,136
63,143,136
64,143,136
65,143,136
66,143,136
67,143,135
68,143,135
69,143,135
70,143,135
71,143,135
72,143,135
73,143,135
74,143,135
75,143,135
76,143,135
77,143,135
78,143,135
79,143,134
80,143,134
81,143,134
82,143,134
83,143,133
84,143,133
85,143,133
86,143,133
87,143,133
88,143,133
89,143,133
90,143,133
91,143,133
92,142,133
93,142,133
94,142,133
95,142,133
96,142,133
97,142,133
98,142,133
99,142,133
100,142,133
101,142,132
102,142,132
103,142,132
104,142,132
105,142,132
106,142,132
107,142,132
108,142,132
109,142,132
110,142,132
111,142,132
112,142,132
113,142,132
114,142,132
115,142,132
116,141,132
117,141,132
118,141,132
119,141,132
120,141,132
121,141,132
122,141,132
123,141,132
124,141,132
125,141,132
126,141,132
127,141,132
128,141,132
129,141,132
130,141,132
131,141,132
132,141,132
133,141,132
134,141,132
135,141,132
136,141,132
137,141,132
138,141,132
139,141,132
140,141,132
141,141,132
142,141,132
143,141,132
144,141,132
145,141,132
146,141,132
147,141,132
148,141,132
149,141,132
150,141,132
151,141,132
152,141,132
153,141,132
154,141,132
155,141,132
156,141,132
157,141,132
158,141,132
159,141,132
160,141,132
161,141,132
162,141,132
163,141,132
164,141,132
165,141,132
166,141,132
167,141,132
168,141,132
169,141,132
170,141,132
171,141,132
172,141,132
173,141,132
174,141,132
175,141,132
176,141,132
177,141,132
178,141,132
179,141,132
180,141,132
181,141,132
182,141,132
183,141,132
184,141,132
185,141,132
186,141,132
187,141,132
188,141,132
189,141,132
190,141,132
191,141,132
192,141,132
193,141,132
194,141,132
195,141,132
196,141,132
197,141,131
198,141,131
199,141,131
200,141,131
201,141,131
202,141,131
203,141,131
204,141,131
205,141,131
206,141,131
207,141,131
208,141,131
209,141,131
210,141,131
211,141,131
212,141,131
213,141,131
214,141,131
215,141,131
216,141,131
217,141,131
218,141,130
219,141,130
220,141,130
221,141,130
222,141,130
223,141,130
224,141,130
225,141,130
226,141,130
227,141,130
228,141,130
229,140,130
230,140,130
231,140,130
232,140,130
233,140,130
234,140,130
235,140,130
236,140,130
237,140,130
238,140,130
239,140,130
240,140,130
241,140,129
242,140,129
243,140,129
244,140,129
245,140,129
246,140,129
247,140,129
248,140,129
249,140,129
250,140,128
251,140,128
252,140,128
253,140,128
254,140,128
255,140,128
256,140,128
257,140,128
258,140,128
259,140,127
260,140,127
261,140,127
262,140,127
263,140,127
264,140,127
265,140,127
266,140,127
267,140,127
268,140,127
269,140,127
270,140,127
271,140,126
272,140,126
273,140,126
274,140,126
275,140,126
276,140,126
277,140,126
278,140,126
279,140,126
280,140,126
281,140,126
282,140,126
283,140,126
284,140,126
285,140,126
286,140,126
287,140,126
288,140,126
289,140,126
290,140,126
291,140,126
292,140,126
